Subfamily,Tribe,Division,Genus,Species,Species authority,Genus authority,Geographic Region,Genus species,Exons,Exons to Capture,Exons Status,Source Institution,Exome,Exome Status,Genome,Genome Status,Sperm,Skin,Notes Status,Notes Taxon,Samples,,,,,,,,,,,
Murinae,Rattini,Berylmys,Berylmys,berdmorei,Blyth,Anderson,SUNDA,Berylmys berdmorei,Y ,Y,Extract at MV,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Rattini,Berylmys,Berylmys,bowersi,Anderson,Anderson,SUNDA,Berylmys bowersi,Y ,N,Exome,,Y ,Complete,,,,,,,Berylymys_bowersi_ABTC116431_EXOME,,,,,,,,,,,
Murinae,Rattini,Berylmys,Berylmys,mackenziei,Thomas,Anderson,ASIA,Berylmys mackenziei,Y ,N,Exome,,Y ,In Capture at UoM,,,,,,,,,,,,,,,,,,
Murinae,Rattini,Berylmys,Berylmys,manipulus,Thomas,Anderson,ASIA,Berylmys manipulus,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,incertae sedis,Brassomys,albidens,Tate,Tate,SAHUL,Brassomys albidens,Y ,N,Complete,,ADD ,ADD_Extract at MV,,,,Y,,,Brassomys_albidens_AMNH150923_EC4,,,,,,,,,,,
Murinae,Rattini,Bunomys,Bullimus,bagobus,Mearns,Thomas,PHILIPPINES,Bullimus bagobus,Y ,N,Exome,,Y ,Complete,,,,,,,Bullimus_bagobus_JAE1712_EXOME,,,,,,,,,,,
Murinae,Rattini,Bunomys,Bullimus,gamay,Rickart;  Heaney;  & Tabaranza Jr.,Thomas,PHILIPPINES,Bullimus gamay,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Rattini,Bunomys,Bullimus,luzonicus,Thomas,Thomas,PHILIPPINES,Bullimus luzonicus,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Rattini,Bunomys,Bunomys,andrewsi,J. A. Allen,Hoffmann,WALLACEA,Bunomys andrewsi,Y ,N,EC7,,Y ,Complete,,,,,,,Bunomys_andrewsi_Z21879_KCR1448_EXOME,,,,,,,,,,,
Murinae,Rattini,Bunomys,Bunomys,chrysocomus,Hoffmann,Hoffmann,WALLACEA,Bunomys chrysocomus,Y ,N,EC7,,Y ,Complete,,,,,,,Bunomys_chrysocomus_JAE4867_EXOME,,,,,,,,,,,
Murinae,Rattini,Bunomys,Bunomys,coelestis,Thomas,Hoffmann,WALLACEA,Bunomys coelestis,Y ,N,EC7,,ADD ,ADD_Library at MV,,,,,,,,,,,,,,,,,,
Murinae,Rattini,Bunomys,Bunomys,fratrorum,Thomas,Hoffmann,WALLACEA,Bunomys fratrorum,Y ,N,EC7,,Y ,Library at UoM not in Capture,,,,,,,,,,,,,,,,,,
Murinae,Rattini,Bunomys,Bunomys,karokophilus,Musser,Hoffmann,WALLACEA,Bunomys karokophilus,Y ,Y,To Request,AMNH (skin),NO,,,,,,,,,,,,,,,,,,,
Murinae,Rattini,Bunomys,Bunomys,penitus,Miller & Hollister,Hoffmann,WALLACEA,Bunomys penitus,Y ,N,EC7,,ADD ,ADD_Library at MV,,,,,,,,,,,,,,,,,,
Murinae,Rattini,Bunomys,Bunomys,prolatus,Musser,Hoffmann,WALLACEA,Bunomys prolatus,Y ,N,EC7,,ADD ,ADD_Library at MV,,,,,,,,,,,,,,,,,,
Murinae,Rattini,Bunomys,Bunomys,torajae,Musser;  Achmadi;  Esselstyn;  & Rowe,Hoffmann,WALLACEA,Bunomys torajae,Y ,N,EC7,,ADD ,ADD_Library at MV,,,,,,,,,,,,,,,,,,
Murinae,Phloeomyini,Phloeomys,Carpomys,melanurus,Thomas,Thomas,PHILIPPINES,Carpomys melanurus,Y ,N,Exome,,Y ,In Capture at UoM,,,,,,,,,,,,,,,,,,
Murinae,Phloeomyini,Phloeomys,Carpomys,phaeurus,Thomas,Thomas,PHILIPPINES,Carpomys phaeurus,Y ,N,Exome,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Rattini,Dacnomys,Chiromyscus,chiropus,Thomas,Thomas,ASIA,Chiromyscus chiropus,Y ,N,Exome,,Y ,In Capture at UoM,,,,,,,,,,,,,,,,,,
Murinae,Rattini,Dacnomys,Chiromyscus,langbianis,Robinson & Kloss,Robinson & Kloss,ASIA,Chiromyscus langbianis,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Rattini,Dacnomys,Chiromyscus,thomasi,Balakirev;  Abramov;  & Rozhnov,Thomas,ASIA,Chiromyscus thomasi,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chiropodomys,Chiropodomys,calamianensis,Taylor,Blyth,SUNDA,Chiropodomys calamianensis,Y ,N,Exome,,Maybe,Failed Library Prep at UoM,,,,,,,,,,,,,,,,,,
